;Ответ;Муравьи
a=0.3, r=0.2, t=130;130;160
a=0.3, r=0.2, t=140;130;160
a=0.3, r=0.2, t=150;130;160
a=0.3, r=0.2, t=160;130;170
a=0.3, r=0.2, t=170;130;170
a=0.3, r=0.2, t=180;130;160
a=0.3, r=0.2, t=190;130;160
a=0.3, r=0.2, t=200;130;160
a=0.3, r=0.3, t=10;130;160
a=0.3, r=0.3, t=20;130;160
a=0.3, r=0.3, t=30;130;160
a=0.3, r=0.3, t=40;130;170
a=0.3, r=0.3, t=50;130;160
a=0.3, r=0.3, t=60;130;160
a=0.3, r=0.3, t=70;130;170
a=0.3, r=0.3, t=80;130;160
a=0.3, r=0.3, t=90;130;170
a=0.3, r=0.3, t=100;130;160
a=0.3, r=0.3, t=110;130;160
a=0.3, r=0.3, t=120;130;160
a=0.3, r=0.3, t=130;130;160
a=0.3, r=0.3, t=140;130;170
a=0.3, r=0.3, t=150;130;160
a=0.3, r=0.3, t=160;130;160
a=0.3, r=0.3, t=170;130;170
a=0.3, r=0.3, t=180;130;170
a=0.3, r=0.3, t=190;130;170
a=0.3, r=0.3, t=200;130;160
a=0.3, r=0.4, t=10;130;170
a=0.3, r=0.4, t=20;130;160
a=0.3, r=0.4, t=30;130;170
a=0.3, r=0.4, t=40;130;160
a=0.3, r=0.4, t=50;130;170
a=0.3, r=0.4, t=60;130;160
a=0.3, r=0.4, t=70;130;160
a=0.3, r=0.4, t=80;130;160
a=0.3, r=0.4, t=90;130;160
a=0.3, r=0.4, t=100;130;160
a=0.3, r=0.4, t=110;130;150
a=0.3, r=0.4, t=120;130;160
a=0.3, r=0.4, t=130;130;170
a=0.3, r=0.4, t=140;130;160
a=0.3, r=0.4, t=150;130;160
a=0.3, r=0.4, t=160;130;160
a=0.3, r=0.4, t=170;130;170
a=0.3, r=0.4, t=180;130;170
a=0.3, r=0.4, t=190;130;170
a=0.3, r=0.4, t=200;130;160
a=0.3, r=0.5, t=10;130;160
a=0.3, r=0.5, t=20;130;160
a=0.3, r=0.5, t=30;130;160
a=0.3, r=0.5, t=40;130;170
a=0.3, r=0.5, t=50;130;160
a=0.3, r=0.5, t=60;130;160
a=0.3, r=0.5, t=70;130;160
a=0.3, r=0.5, t=80;130;170
a=0.3, r=0.5, t=90;130;150
a=0.3, r=0.5, t=100;130;160
a=0.3, r=0.5, t=110;130;160
a=0.3, r=0.5, t=120;130;170
a=0.3, r=0.5, t=130;130;170
a=0.3, r=0.5, t=140;130;160
a=0.3, r=0.5, t=150;130;160
a=0.3, r=0.5, t=160;130;160
a=0.3, r=0.5, t=170;130;160
