;Ответ;Муравьи
a=0.0, r=0.1, t=10;160;210
a=0.0, r=0.1, t=20;160;210
a=0.0, r=0.1, t=30;160;210
a=0.0, r=0.1, t=40;160;210
a=0.0, r=0.1, t=50;160;210
a=0.0, r=0.1, t=60;160;210
a=0.0, r=0.1, t=70;160;210
a=0.0, r=0.1, t=80;160;210
a=0.0, r=0.1, t=90;160;210
a=0.0, r=0.1, t=100;160;210
a=0.0, r=0.1, t=110;160;210
a=0.0, r=0.1, t=120;160;210
a=0.0, r=0.1, t=130;160;210
a=0.0, r=0.1, t=140;160;210
a=0.0, r=0.1, t=150;160;210
a=0.0, r=0.1, t=160;160;210
a=0.0, r=0.1, t=170;160;210
a=0.0, r=0.1, t=180;160;210
a=0.0, r=0.1, t=190;160;210
a=0.0, r=0.1, t=200;160;210
a=0.0, r=0.2, t=10;160;210
a=0.0, r=0.2, t=20;160;210
a=0.0, r=0.2, t=30;160;210
a=0.0, r=0.2, t=40;160;210
a=0.0, r=0.2, t=50;160;210
a=0.0, r=0.2, t=60;160;210
a=0.0, r=0.2, t=70;160;210
a=0.0, r=0.2, t=80;160;210
a=0.0, r=0.2, t=90;160;210
a=0.0, r=0.2, t=100;160;210
a=0.0, r=0.2, t=110;160;210
a=0.0, r=0.2, t=120;160;210
a=0.0, r=0.2, t=130;160;210
a=0.0, r=0.2, t=140;160;210
a=0.0, r=0.2, t=150;160;210
a=0.0, r=0.2, t=160;160;210
a=0.0, r=0.2, t=170;160;210
a=0.0, r=0.2, t=180;160;210
a=0.0, r=0.2, t=190;160;210
a=0.0, r=0.2, t=200;160;210
a=0.0, r=0.3, t=10;160;210
a=0.0, r=0.3, t=20;160;210
a=0.0, r=0.3, t=30;160;210
a=0.0, r=0.3, t=40;160;210
a=0.0, r=0.3, t=50;160;210
a=0.0, r=0.3, t=60;160;210
a=0.0, r=0.3, t=70;160;210
a=0.0, r=0.3, t=80;160;210
a=0.0, r=0.3, t=90;160;210
a=0.0, r=0.3, t=100;160;210
a=0.0, r=0.3, t=110;160;210
a=0.0, r=0.3, t=120;160;210
a=0.0, r=0.3, t=130;160;210
a=0.0, r=0.3, t=140;160;210
a=0.0, r=0.3, t=150;160;210
a=0.0, r=0.3, t=160;160;210
a=0.0, r=0.3, t=170;160;210
a=0.0, r=0.3, t=180;160;210
a=0.0, r=0.3, t=190;160;210
