    alpha      rho        t    total  aco_min  aco_max
{ DATA 1 }
      0.1      0.1      130      130      170      190
      0.1      0.1      140      130      170      190
      0.1      0.1      150      130      160      190
      0.1      0.1      160      130      160      220
      0.1      0.1      170      130      160      190
      0.1      0.1      180      130      170      190
      0.1      0.1      190      130      160      190
      0.1      0.1      200      130      160      170
      0.1      0.2       10      130      170      230
      0.1      0.2       20      130      160      170
      0.1      0.2       30      130      170      170
      0.1      0.2       40      130      160      170
      0.1      0.2       50      130      160      190
      0.1      0.2       60      130      170      190
      0.1      0.2       70      130      160      170
      0.1      0.2       80      130      160      190
      0.1      0.2       90      130      170      190
      0.1      0.2      100      130      170      190
      0.1      0.2      110      130      170      190
      0.1      0.2      120      130      170      200
      0.1      0.2      130      130      170      170
      0.1      0.2      140      130      170      190
      0.1      0.2      150      130      170      190
      0.1      0.2      160      130      160      190
      0.1      0.2      170      130      160      190
      0.1      0.2      180      130      160      170
      0.1      0.2      190      130      170      190
      0.1      0.2      200      130      170      190
      0.1      0.3       10      130      160      190
      0.1      0.3       20      130      160      230
      0.1      0.3       30      130      170      190
      0.1      0.3       40      130      160      190
      0.1      0.3       50      130      170      190
      0.1      0.3       60      130      160      190
      0.1      0.3       70      130      170      190
      0.1      0.3       80      130      160      190
      0.1      0.3       90      130      160      190
      0.1      0.3      100      130      170      190
      0.1      0.3      110      130      170      190
      0.1      0.3      120      130      160      190
      0.1      0.3      130      130      170      190
      0.1      0.3      140      130      170      190
      0.1      0.3      150      130      170      190
      0.1      0.3      160      130      170      190
      0.1      0.3      170      130      160      190
      0.1      0.3      180      130      170      190
      0.1      0.3      190      130      170      190
      0.1      0.3      200      130      170      210
      0.1      0.4       10      130      170      210
      0.1      0.4       20      130      170      230
      0.1      0.4       30      130      170      220
      0.1      0.4       40      130      160      170
      0.1      0.4       50      130      160      190
      0.1      0.4       60      130      160      190
      0.1      0.4       70      130      170      190
      0.1      0.4       80      130      160      190
      0.1      0.4       90      130      160      190
      0.1      0.4      100      130      170      190
      0.1      0.4      110      130      170      220
      0.1      0.4      120      130      170      190
      0.1      0.4      130      130      170      190
      0.1      0.4      140      130      160      190
      0.1      0.4      150      130      170      210
      0.1      0.4      160      130      170      190
      0.1      0.4      170      130      170      170
      0.1      0.4      180      130      170      170
      0.1      0.4      190      130      170      190
      0.1      0.4      200      130      160      190
      0.1      0.5       10      130      170      190
      0.1      0.5       20      130      170      190
      0.1      0.5       30      130      160      190
      0.1      0.5       40      130      170      220
      0.1      0.5       50      130      160      170
      0.1      0.5       60      130      160      190
      0.1      0.5       70      130      170      210
      0.1      0.5       80      130      170      200
      0.1      0.5       90      130      160      210
      0.1      0.5      100      130      170      190
      0.1      0.5      110      130      170      220
      0.1      0.5      120      130      170      190
      0.1      0.5      130      130      160      190
      0.1      0.5      140      130      170      190
      0.1      0.5      150      130      170      190
      0.1      0.5      160      130      160      190
      0.1      0.5      170      130      160      190
      0.1      0.5      180      130      160      220
      0.1      0.5      190      130      160      190
      0.1      0.5      200      130      160      210
      0.1      0.6       10      130      170      220
      0.1      0.6       20      130      160      170
      0.1      0.6       30      130      160      190
      0.1      0.6       40      130      160      210
      0.1      0.6       50      130      170      190
      0.1      0.6       60      130      170      190
