№;alpha;rho;t;Ответ;Муравьи;;;№;alpha;rho;t;Ответ;Муравьи;
499;0.2;0.5;200.0;130;160;;;;;;;;;
500;0.2;0.6;10.0;130;160;;;;;;;;;
501;0.2;0.6;20.0;130;160;;;;;;;;;
502;0.2;0.6;30.0;130;170;;;;;;;;;
503;0.2;0.6;40.0;130;160;;;;;;;;;
504;0.2;0.6;50.0;130;170;;;;;;;;;
505;0.2;0.6;60.0;130;160;;;;;;;;;
506;0.2;0.6;70.0;130;160;;;;;;;;;
507;0.2;0.6;80.0;130;170;;;;;;;;;
508;0.2;0.6;90.0;130;160;;;;;;;;;
509;0.2;0.6;100.0;130;170;;;;;;;;;
510;0.2;0.6;110.0;130;170;;;;;;;;;
511;0.2;0.6;120.0;130;170;;;;;;;;;
512;0.2;0.6;130.0;130;160;;;;;;;;;
513;0.2;0.6;140.0;130;160;;;;;;;;;
514;0.2;0.6;150.0;130;160;;;;;;;;;
515;0.2;0.6;160.0;130;160;;;;;;;;;
516;0.2;0.6;170.0;130;160;;;;;;;;;
517;0.2;0.6;180.0;130;160;;;;;;;;;
518;0.2;0.6;190.0;130;160;;;;;;;;;
519;0.2;0.6;200.0;130;160;;;;;;;;;
520;0.2;0.7;10.0;130;160;;;;;;;;;
521;0.2;0.7;20.0;130;160;;;;;;;;;
522;0.2;0.7;30.0;130;160;;;;;;;;;
523;0.2;0.7;40.0;130;160;;;;;;;;;
524;0.2;0.7;50.0;130;170;;;;;;;;;
525;0.2;0.7;60.0;130;170;;;;;;;;;
526;0.2;0.7;70.0;130;170;;;;;;;;;
527;0.2;0.7;80.0;130;160;;;;;;;;;
528;0.2;0.7;90.0;130;160;;;;;;;;;
529;0.2;0.7;100.0;130;160;;;;;;;;;
530;0.2;0.7;110.0;130;170;;;;;;;;;
531;0.2;0.7;120.0;130;160;;;;;;;;;
532;0.2;0.7;130.0;130;160;;;;;;;;;
533;0.2;0.7;140.0;130;160;;;;;;;;;
534;0.2;0.7;150.0;130;160;;;;;;;;;
535;0.2;0.7;160.0;130;160;;;;;;;;;
536;0.2;0.7;170.0;130;160;;;;;;;;;
537;0.2;0.7;180.0;130;160;;;;;;;;;
538;0.2;0.7;190.0;130;160;;;;;;;;;
539;0.2;0.7;200.0;130;160;;;;;;;;;
540;0.2;0.8;10.0;130;160;;;;;;;;;
541;0.2;0.8;20.0;130;160;;;;;;;;;
542;0.2;0.8;30.0;130;160;;;;;;;;;
543;0.2;0.8;40.0;130;160;;;;;;;;;
544;0.2;0.8;50.0;130;170;;;;;;;;;
545;0.2;0.8;60.0;130;160;;;;;;;;;
546;0.2;0.8;70.0;130;170;;;;;;;;;
547;0.2;0.8;80.0;130;160;;;;;;;;;
548;0.2;0.8;90.0;130;170;;;;;;;;;
549;0.2;0.8;100.0;130;160;;;;;;;;;
550;0.2;0.8;110.0;130;170;;;;;;;;;
551;0.2;0.8;120.0;130;160;;;;;;;;;
552;0.2;0.8;130.0;130;170;;;;;;;;;
553;0.2;0.8;140.0;130;160;;;;;;;;;
554;0.2;0.8;150.0;130;160;;;;;;;;;
555;0.2;0.8;160.0;130;160;;;;;;;;;
556;0.2;0.8;170.0;130;160;;;;;;;;;
557;0.2;0.8;180.0;130;160;;;;;;;;;
558;0.2;0.8;190.0;130;160;;;;;;;;;
559;0.2;0.8;200.0;130;160;;;;;;;;;
560;0.2;0.9;10.0;130;160;;;;;;;;;
561;0.2;0.9;20.0;130;170;;;;;;;;;
562;0.2;0.9;30.0;130;160;;;;;;;;;
563;0.2;0.9;40.0;130;160;;;;;;;;;
564;0.2;0.9;50.0;130;160;;;;;;;;;
565;0.2;0.9;60.0;130;160;;;;;;;;;
566;0.2;0.9;70.0;130;160;;;;;;;;;
567;0.2;0.9;80.0;130;170;;;;;;;;;
568;0.2;0.9;90.0;130;160;;;;;;;;;
569;0.2;0.9;100.0;130;160;;;;;;;;;
570;0.2;0.9;110.0;130;160;;;;;;;;;
571;0.2;0.9;120.0;130;160;;;;;;;;;
572;0.2;0.9;130.0;130;160;;;;;;;;;
573;0.2;0.9;140.0;130;160;;;;;;;;;
574;0.2;0.9;150.0;130;160;;;;;;;;;
575;0.2;0.9;160.0;130;170;;;;;;;;;
576;0.2;0.9;170.0;130;160;;;;;;;;;
577;0.2;0.9;180.0;130;160;;;;;;;;;
578;0.2;0.9;190.0;130;160;;;;;;;;;
579;0.2;0.9;200.0;130;160;;;;;;;;;
580;0.2;1.0;10.0;130;160;;;;;;;;;
581;0.2;1.0;20.0;130;160;;;;;;;;;
582;0.2;1.0;30.0;130;160;;;;;;;;;
583;0.2;1.0;40.0;130;160;;;;;;;;;
584;0.2;1.0;50.0;130;170;;;;;;;;;
585;0.2;1.0;60.0;130;160;;;;;;;;;
586;0.2;1.0;70.0;130;160;;;;;;;;;
587;0.2;1.0;80.0;130;160;;;;;;;;;
588;0.2;1.0;90.0;130;160;;;;;;;;;
589;0.2;1.0;100.0;130;160;;;;;;;;;
590;0.2;1.0;110.0;130;160;;;;;;;;;
591;0.2;1.0;120.0;130;160;;;;;;;;;
592;0.2;1.0;130.0;130;160;;;;;;;;;
593;0.2;1.0;140.0;130;160;;;;;;;;;
594;0.2;1.0;150.0;130;160;;;;;;;;;
595;0.2;1.0;160.0;130;170;;;;;;;;;
596;0.2;1.0;170.0;130;160;;;;;;;;;
597;0.2;1.0;180.0;130;160;;;;;;;;;
598;0.2;1.0;190.0;130;160;;;;;;;;;
599;0.2;1.0;200.0;130;160;;;;;;;;;
600;0.3;0.1;10.0;130;160;;;;;;;;;
601;0.3;0.1;20.0;130;150;;;;;;;;;
602;0.3;0.1;30.0;130;160;;;;;;;;;
603;0.3;0.1;40.0;130;160;;;;;;;;;
604;0.3;0.1;50.0;130;160;;;;;;;;;
605;0.3;0.1;60.0;130;160;;;;;;;;;
606;0.3;0.1;70.0;130;160;;;;;;;;;
607;0.3;0.1;80.0;130;160;;;;;;;;;
608;0.3;0.1;90.0;130;150;;;;;;;;;
609;0.3;0.1;100.0;130;160;;;;;;;;;
610;0.3;0.1;110.0;130;170;;;;;;;;;
611;0.3;0.1;120.0;130;160;;;;;;;;;
612;0.3;0.1;130.0;130;160;;;;;;;;;
613;0.3;0.1;140.0;130;160;;;;;;;;;
614;0.3;0.1;150.0;130;170;;;;;;;;;
615;0.3;0.1;160.0;130;160;;;;;;;;;
616;0.3;0.1;170.0;130;160;;;;;;;;;
617;0.3;0.1;180.0;130;170;;;;;;;;;
618;0.3;0.1;190.0;130;160;;;;;;;;;
619;0.3;0.1;200.0;130;160;;;;;;;;;
620;0.3;0.2;10.0;130;160;;;;;;;;;
621;0.3;0.2;20.0;130;170;;;;;;;;;
622;0.3;0.2;30.0;130;160;;;;;;;;;
623;0.3;0.2;40.0;130;160;;;;;;;;;
624;0.3;0.2;50.0;130;160;;;;;;;;;
625;0.3;0.2;60.0;130;160;;;;;;;;;
626;0.3;0.2;70.0;130;160;;;;;;;;;
627;0.3;0.2;80.0;130;160;;;;;;;;;
628;0.3;0.2;90.0;130;170;;;;;;;;;
629;0.3;0.2;100.0;130;160;;;;;;;;;
630;0.3;0.2;110.0;130;170;;;;;;;;;
631;0.3;0.2;120.0;130;160;;;;;;;;;
632;0.3;0.2;130.0;130;160;;;;;;;;;
633;0.3;0.2;140.0;130;160;;;;;;;;;
634;0.3;0.2;150.0;130;160;;;;;;;;;
635;0.3;0.2;160.0;130;170;;;;;;;;;
636;0.3;0.2;170.0;130;170;;;;;;;;;
637;0.3;0.2;180.0;130;160;;;;;;;;;
638;0.3;0.2;190.0;130;160;;;;;;;;;
639;0.3;0.2;200.0;130;160;;;;;;;;;
640;0.3;0.3;10.0;130;160;;;;;;;;;
641;0.3;0.3;20.0;130;160;;;;;;;;;
642;0.3;0.3;30.0;130;160;;;;;;;;;
643;0.3;0.3;40.0;130;170;;;;;;;;;
644;0.3;0.3;50.0;130;160;;;;;;;;;
645;0.3;0.3;60.0;130;160;;;;;;;;;
646;0.3;0.3;70.0;130;170;;;;;;;;;
647;0.3;0.3;80.0;130;160;;;;;;;;;
648;0.3;0.3;90.0;130;170;;;;;;;;;
649;0.3;0.3;100.0;130;160;;;;;;;;;
650;0.3;0.3;110.0;130;160;;;;;;;;;
651;0.3;0.3;120.0;130;160;;;;;;;;;
652;0.3;0.3;130.0;130;160;;;;;;;;;
653;0.3;0.3;140.0;130;170;;;;;;;;;
654;0.3;0.3;150.0;130;160;;;;;;;;;
655;0.3;0.3;160.0;130;160;;;;;;;;;
656;0.3;0.3;170.0;130;170;;;;;;;;;
657;0.3;0.3;180.0;130;170;;;;;;;;;
658;0.3;0.3;190.0;130;170;;;;;;;;;
659;0.3;0.3;200.0;130;160;;;;;;;;;
660;0.3;0.4;10.0;130;170;;;;;;;;;
661;0.3;0.4;20.0;130;160;;;;;;;;;
662;0.3;0.4;30.0;130;170;;;;;;;;;
663;0.3;0.4;40.0;130;160;;;;;;;;;
664;0.3;0.4;50.0;130;170;;;;;;;;;
665;0.3;0.4;60.0;130;160;;;;;;;;;
666;0.3;0.4;70.0;130;160;;;;;;;;;
667;0.3;0.4;80.0;130;160;;;;;;;;;
668;0.3;0.4;90.0;130;160;;;;;;;;;
669;0.3;0.4;100.0;130;160;;;;;;;;;
670;0.3;0.4;110.0;130;150;;;;;;;;;
671;0.3;0.4;120.0;130;160;;;;;;;;;
672;0.3;0.4;130.0;130;170;;;;;;;;;
673;0.3;0.4;140.0;130;160;;;;;;;;;
674;0.3;0.4;150.0;130;160;;;;;;;;;
675;0.3;0.4;160.0;130;160;;;;;;;;;
676;0.3;0.4;170.0;130;170;;;;;;;;;
677;0.3;0.4;180.0;130;170;;;;;;;;;
678;0.3;0.4;190.0;130;170;;;;;;;;;
679;0.3;0.4;200.0;130;160;;;;;;;;;
680;0.3;0.5;10.0;130;160;;;;;;;;;
681;0.3;0.5;20.0;130;160;;;;;;;;;
682;0.3;0.5;30.0;130;160;;;;;;;;;
683;0.3;0.5;40.0;130;170;;;;;;;;;
684;0.3;0.5;50.0;130;160;;;;;;;;;
685;0.3;0.5;60.0;130;160;;;;;;;;;
686;0.3;0.5;70.0;130;160;;;;;;;;;
687;0.3;0.5;80.0;130;170;;;;;;;;;
688;0.3;0.5;90.0;130;150;;;;;;;;;
689;0.3;0.5;100.0;130;160;;;;;;;;;
690;0.3;0.5;110.0;130;160;;;;;;;;;
691;0.3;0.5;120.0;130;170;;;;;;;;;
692;0.3;0.5;130.0;130;170;;;;;;;;;
693;0.3;0.5;140.0;130;160;;;;;;;;;
694;0.3;0.5;150.0;130;160;;;;;;;;;
695;0.3;0.5;160.0;130;160;;;;;;;;;
696;0.3;0.5;170.0;130;160;;;;;;;;;
697;0.3;0.5;180.0;130;160;;;;;;;;;
698;0.3;0.5;190.0;130;160;;;;;;;;;
699;0.3;0.5;200.0;130;160;;;;;;;;;
700;0.3;0.6;10.0;130;170;;;;;;;;;
701;0.3;0.6;20.0;130;160;;;;;;;;;
702;0.3;0.6;30.0;130;160;;;;;;;;;
703;0.3;0.6;40.0;130;160;;;;;;;;;
704;0.3;0.6;50.0;130;160;;;;;;;;;
705;0.3;0.6;60.0;130;160;;;;;;;;;
706;0.3;0.6;70.0;130;160;;;;;;;;;
707;0.3;0.6;80.0;130;170;;;;;;;;;
708;0.3;0.6;90.0;130;160;;;;;;;;;
709;0.3;0.6;100.0;130;160;;;;;;;;;
710;0.3;0.6;110.0;130;160;;;;;;;;;
711;0.3;0.6;120.0;130;160;;;;;;;;;
712;0.3;0.6;130.0;130;160;;;;;;;;;
713;0.3;0.6;140.0;130;170;;;;;;;;;
714;0.3;0.6;150.0;130;160;;;;;;;;;
715;0.3;0.6;160.0;130;160;;;;;;;;;
716;0.3;0.6;170.0;130;160;;;;;;;;;
717;0.3;0.6;180.0;130;170;;;;;;;;;
718;0.3;0.6;190.0;130;160;;;;;;;;;
719;0.3;0.6;200.0;130;160;;;;;;;;;
720;0.3;0.7;10.0;130;160;;;;;;;;;
721;0.3;0.7;20.0;130;160;;;;;;;;;
722;0.3;0.7;30.0;130;170;;;;;;;;;
723;0.3;0.7;40.0;130;160;;;;;;;;;
724;0.3;0.7;50.0;130;160;;;;;;;;;
725;0.3;0.7;60.0;130;160;;;;;;;;;
726;0.3;0.7;70.0;130;160;;;;;;;;;
727;0.3;0.7;80.0;130;160;;;;;;;;;
728;0.3;0.7;90.0;130;160;;;;;;;;;
729;0.3;0.7;100.0;130;160;;;;;;;;;
730;0.3;0.7;110.0;130;160;;;;;;;;;
731;0.3;0.7;120.0;130;160;;;;;;;;;
732;0.3;0.7;130.0;130;150;;;;;;;;;
733;0.3;0.7;140.0;130;160;;;;;;;;;
734;0.3;0.7;150.0;130;160;;;;;;;;;
735;0.3;0.7;160.0;130;160;;;;;;;;;
736;0.3;0.7;170.0;130;160;;;;;;;;;
737;0.3;0.7;180.0;130;160;;;;;;;;;
738;0.3;0.7;190.0;130;160;;;;;;;;;
739;0.3;0.7;200.0;130;160;;;;;;;;;
740;0.3;0.8;10.0;130;160;;;;;;;;;
741;0.3;0.8;20.0;130;160;;;;;;;;;
742;0.3;0.8;30.0;130;160;;;;;;;;;
743;0.3;0.8;40.0;130;160;;;;;;;;;
744;0.3;0.8;50.0;130;160;;;;;;;;;
745;0.3;0.8;60.0;130;160;;;;;;;;;
746;0.3;0.8;70.0;130;160;;;;;;;;;
747;0.3;0.8;80.0;130;160;;;;;;;;;
748;0.3;0.8;90.0;130;160;;;;;;;;;
749;0.3;0.8;100.0;130;160;;;;;;;;;
750;0.3;0.8;110.0;130;160;;;;;;;;;
751;0.3;0.8;120.0;130;160;;;;;;;;;
752;0.3;0.8;130.0;130;160;;;;;;;;;
753;0.3;0.8;140.0;130;170;;;;;;;;;
754;0.3;0.8;150.0;130;160;;;;;;;;;
755;0.3;0.8;160.0;130;160;;;;;;;;;
756;0.3;0.8;170.0;130;160;;;;;;;;;
757;0.3;0.8;180.0;130;160;;;;;;;;;
758;0.3;0.8;190.0;130;160;;;;;;;;;
759;0.3;0.8;200.0;130;160;;;;;;;;;
760;0.3;0.9;10.0;130;150;;;;;;;;;
761;0.3;0.9;20.0;130;150;;;;;;;;;
762;0.3;0.9;30.0;130;160;;;;;;;;;
763;0.3;0.9;40.0;130;170;;;;;;;;;
764;0.3;0.9;50.0;130;160;;;;;;;;;
765;0.3;0.9;60.0;130;160;;;;;;;;;
766;0.3;0.9;70.0;130;160;;;;;;;;;
767;0.3;0.9;80.0;130;160;;;;;;;;;
768;0.3;0.9;90.0;130;160;;;;;;;;;
769;0.3;0.9;100.0;130;160;;;;;;;;;
770;0.3;0.9;110.0;130;170;;;;;;;;;
771;0.3;0.9;120.0;130;160;;;;;;;;;
772;0.3;0.9;130.0;130;160;;;;;;;;;
773;0.3;0.9;140.0;130;160;;;;;;;;;
774;0.3;0.9;150.0;130;150;;;;;;;;;
775;0.3;0.9;160.0;130;160;;;;;;;;;
776;0.3;0.9;170.0;130;160;;;;;;;;;
777;0.3;0.9;180.0;130;160;;;;;;;;;
778;0.3;0.9;190.0;130;160;;;;;;;;;
779;0.3;0.9;200.0;130;170;;;;;;;;;
780;0.3;1.0;10.0;130;160;;;;;;;;;
781;0.3;1.0;20.0;130;170;;;;;;;;;
782;0.3;1.0;30.0;130;160;;;;;;;;;
783;0.3;1.0;40.0;130;160;;;;;;;;;
784;0.3;1.0;50.0;130;160;;;;;;;;;
785;0.3;1.0;60.0;130;160;;;;;;;;;
786;0.3;1.0;70.0;130;150;;;;;;;;;
787;0.3;1.0;80.0;130;160;;;;;;;;;
788;0.3;1.0;90.0;130;160;;;;;;;;;
789;0.3;1.0;100.0;130;170;;;;;;;;;
790;0.3;1.0;110.0;130;160;;;;;;;;;
791;0.3;1.0;120.0;130;170;;;;;;;;;
792;0.3;1.0;130.0;130;160;;;;;;;;;
793;0.3;1.0;140.0;130;160;;;;;;;;;
794;0.3;1.0;150.0;130;170;;;;;;;;;
795;0.3;1.0;160.0;130;160;;;;;;;;;
796;0.3;1.0;170.0;130;170;;;;;;;;;
797;0.3;1.0;180.0;130;170;;;;;;;;;
798;0.3;1.0;190.0;130;160;;;;;;;;;
799;0.3;1.0;200.0;130;160;;;;;;;;;
800;0.4;0.1;10.0;130;170;;;;;;;;;
801;0.4;0.1;20.0;130;170;;;;;;;;;
802;0.4;0.1;30.0;130;160;;;;;;;;;
803;0.4;0.1;40.0;130;160;;;;;;;;;
804;0.4;0.1;50.0;130;160;;;;;;;;;
805;0.4;0.1;60.0;130;160;;;;;;;;;
806;0.4;0.1;70.0;130;160;;;;;;;;;
807;0.4;0.1;80.0;130;150;;;;;;;;;
808;0.4;0.1;90.0;130;150;;;;;;;;;
809;0.4;0.1;100.0;130;170;;;;;;;;;
810;0.4;0.1;110.0;130;150;;;;;;;;;
811;0.4;0.1;120.0;130;160;;;;;;;;;
812;0.4;0.1;130.0;130;160;;;;;;;;;
813;0.4;0.1;140.0;130;170;;;;;;;;;
814;0.4;0.1;150.0;130;170;;;;;;;;;
815;0.4;0.1;160.0;130;160;;;;;;;;;
816;0.4;0.1;170.0;130;150;;;;;;;;;
817;0.4;0.1;180.0;130;160;;;;;;;;;
818;0.4;0.1;190.0;130;170;;;;;;;;;
819;0.4;0.1;200.0;130;160;;;;;;;;;
820;0.4;0.2;10.0;130;170;;;;;;;;;
821;0.4;0.2;20.0;130;150;;;;;;;;;
822;0.4;0.2;30.0;130;170;;;;;;;;;
823;0.4;0.2;40.0;130;190;;;;;;;;;
824;0.4;0.2;50.0;130;170;;;;;;;;;
825;0.4;0.2;60.0;130;180;;;;;;;;;
826;0.4;0.2;70.0;130;160;;;;;;;;;
827;0.4;0.2;80.0;130;150;;;;;;;;;
828;0.4;0.2;90.0;130;150;;;;;;;;;
829;0.4;0.2;100.0;130;160;;;;;;;;;
830;0.4;0.2;110.0;130;160;;;;;;;;;
831;0.4;0.2;120.0;130;160;;;;;;;;;
832;0.4;0.2;130.0;130;160;;;;;;;;;
833;0.4;0.2;140.0;130;160;;;;;;;;;
834;0.4;0.2;150.0;130;150;;;;;;;;;
835;0.4;0.2;160.0;130;160;;;;;;;;;
836;0.4;0.2;170.0;130;160;;;;;;;;;
837;0.4;0.2;180.0;130;150;;;;;;;;;
838;0.4;0.2;190.0;130;190;;;;;;;;;
839;0.4;0.2;200.0;130;170;;;;;;;;;
840;0.4;0.3;10.0;130;150;;;;;;;;;
841;0.4;0.3;20.0;130;160;;;;;;;;;
842;0.4;0.3;30.0;130;190;;;;;;;;;
843;0.4;0.3;40.0;130;170;;;;;;;;;
844;0.4;0.3;50.0;130;160;;;;;;;;;
845;0.4;0.3;60.0;130;190;;;;;;;;;
846;0.4;0.3;70.0;130;170;;;;;;;;;
847;0.4;0.3;80.0;130;160;;;;;;;;;
848;0.4;0.3;90.0;130;160;;;;;;;;;
849;0.4;0.3;100.0;130;160;;;;;;;;;
850;0.4;0.3;110.0;130;160;;;;;;;;;
851;0.4;0.3;120.0;130;160;;;;;;;;;
852;0.4;0.3;130.0;130;160;;;;;;;;;
853;0.4;0.3;140.0;130;170;;;;;;;;;
854;0.4;0.3;150.0;130;160;;;;;;;;;
855;0.4;0.3;160.0;130;170;;;;;;;;;
856;0.4;0.3;170.0;130;160;;;;;;;;;
857;0.4;0.3;180.0;130;160;;;;;;;;;
858;0.4;0.3;190.0;130;170;;;;;;;;;
859;0.4;0.3;200.0;130;160;;;;;;;;;
860;0.4;0.4;10.0;130;150;;;;;;;;;
861;0.4;0.4;20.0;130;160;;;;;;;;;
862;0.4;0.4;30.0;130;170;;;;;;;;;
863;0.4;0.4;40.0;130;150;;;;;;;;;
864;0.4;0.4;50.0;130;160;;;;;;;;;
865;0.4;0.4;60.0;130;150;;;;;;;;;
866;0.4;0.4;70.0;130;170;;;;;;;;;
867;0.4;0.4;80.0;130;170;;;;;;;;;
868;0.4;0.4;90.0;130;170;;;;;;;;;
869;0.4;0.4;100.0;130;150;;;;;;;;;
870;0.4;0.4;110.0;130;170;;;;;;;;;
871;0.4;0.4;120.0;130;170;;;;;;;;;
872;0.4;0.4;130.0;130;170;;;;;;;;;
873;0.4;0.4;140.0;130;160;;;;;;;;;
874;0.4;0.4;150.0;130;160;;;;;;;;;
875;0.4;0.4;160.0;130;160;;;;;;;;;
876;0.4;0.4;170.0;130;160;;;;;;;;;
877;0.4;0.4;180.0;130;180;;;;;;;;;
878;0.4;0.4;190.0;130;160;;;;;;;;;
879;0.4;0.4;200.0;130;150;;;;;;;;;
880;0.4;0.5;10.0;130;170;;;;;;;;;
881;0.4;0.5;20.0;130;160;;;;;;;;;
882;0.4;0.5;30.0;130;160;;;;;;;;;
883;0.4;0.5;40.0;130;160;;;;;;;;;
884;0.4;0.5;50.0;130;160;;;;;;;;;
885;0.4;0.5;60.0;130;150;;;;;;;;;
886;0.4;0.5;70.0;130;180;;;;;;;;;
887;0.4;0.5;80.0;130;170;;;;;;;;;
888;0.4;0.5;90.0;130;150;;;;;;;;;
889;0.4;0.5;100.0;130;160;;;;;;;;;
890;0.4;0.5;110.0;130;170;;;;;;;;;
891;0.4;0.5;120.0;130;160;;;;;;;;;
892;0.4;0.5;130.0;130;160;;;;;;;;;
893;0.4;0.5;140.0;130;160;;;;;;;;;
894;0.4;0.5;150.0;130;170;;;;;;;;;
895;0.4;0.5;160.0;130;160;;;;;;;;;
896;0.4;0.5;170.0;130;160;;;;;;;;;
897;0.4;0.5;180.0;130;160;;;;;;;;;
898;0.4;0.5;190.0;130;160;;;;;;;;;
899;0.4;0.5;200.0;130;170;;;;;;;;;
900;0.4;0.6;10.0;130;160;;;;;;;;;
901;0.4;0.6;20.0;130;160;;;;;;;;;
902;0.4;0.6;30.0;130;160;;;;;;;;;
903;0.4;0.6;40.0;130;150;;;;;;;;;
904;0.4;0.6;50.0;130;190;;;;;;;;;
905;0.4;0.6;60.0;130;160;;;;;;;;;
906;0.4;0.6;70.0;130;160;;;;;;;;;
907;0.4;0.6;80.0;130;170;;;;;;;;;
908;0.4;0.6;90.0;130;160;;;;;;;;;
909;0.4;0.6;100.0;130;170;;;;;;;;;
910;0.4;0.6;110.0;130;160;;;;;;;;;
911;0.4;0.6;120.0;130;170;;;;;;;;;
912;0.4;0.6;130.0;130;170;;;;;;;;;
913;0.4;0.6;140.0;130;170;;;;;;;;;
914;0.4;0.6;150.0;130;160;;;;;;;;;
915;0.4;0.6;160.0;130;150;;;;;;;;;
916;0.4;0.6;170.0;130;160;;;;;;;;;
917;0.4;0.6;180.0;130;160;;;;;;;;;
918;0.4;0.6;190.0;130;160;;;;;;;;;
919;0.4;0.6;200.0;130;160;;;;;;;;;
920;0.4;0.7;10.0;130;170;;;;;;;;;
921;0.4;0.7;20.0;130;190;;;;;;;;;
922;0.4;0.7;30.0;130;160;;;;;;;;;
923;0.4;0.7;40.0;130;170;;;;;;;;;
924;0.4;0.7;50.0;130;160;;;;;;;;;
925;0.4;0.7;60.0;130;160;;;;;;;;;
926;0.4;0.7;70.0;130;190;;;;;;;;;
927;0.4;0.7;80.0;130;160;;;;;;;;;
928;0.4;0.7;90.0;130;160;;;;;;;;;
929;0.4;0.7;100.0;130;160;;;;;;;;;
930;0.4;0.7;110.0;130;160;;;;;;;;;
931;0.4;0.7;120.0;130;160;;;;;;;;;
932;0.4;0.7;130.0;130;170;;;;;;;;;
933;0.4;0.7;140.0;130;160;;;;;;;;;
934;0.4;0.7;150.0;130;170;;;;;;;;;
935;0.4;0.7;160.0;130;160;;;;;;;;;
936;0.4;0.7;170.0;130;160;;;;;;;;;
937;0.4;0.7;180.0;130;160;;;;;;;;;
938;0.4;0.7;190.0;130;160;;;;;;;;;
939;0.4;0.7;200.0;130;160;;;;;;;;;
940;0.4;0.8;10.0;130;160;;;;;;;;;
941;0.4;0.8;20.0;130;160;;;;;;;;;
942;0.4;0.8;30.0;130;150;;;;;;;;;
943;0.4;0.8;40.0;130;160;;;;;;;;;
944;0.4;0.8;50.0;130;160;;;;;;;;;
945;0.4;0.8;60.0;130;160;;;;;;;;;
946;0.4;0.8;70.0;130;160;;;;;;;;;
947;0.4;0.8;80.0;130;170;;;;;;;;;
948;0.4;0.8;90.0;130;150;;;;;;;;;
949;0.4;0.8;100.0;130;160;;;;;;;;;
950;0.4;0.8;110.0;130;170;;;;;;;;;
951;0.4;0.8;120.0;130;160;;;;;;;;;
952;0.4;0.8;130.0;130;160;;;;;;;;;
953;0.4;0.8;140.0;130;160;;;;;;;;;
954;0.4;0.8;150.0;130;160;;;;;;;;;
955;0.4;0.8;160.0;130;160;;;;;;;;;
956;0.4;0.8;170.0;130;160;;;;;;;;;
957;0.4;0.8;180.0;130;150;;;;;;;;;
958;0.4;0.8;190.0;130;170;;;;;;;;;
959;0.4;0.8;200.0;130;160;;;;;;;;;
960;0.4;0.9;10.0;130;160;;;;;;;;;
961;0.4;0.9;20.0;130;170;;;;;;;;;
962;0.4;0.9;30.0;130;170;;;;;;;;;
963;0.4;0.9;40.0;130;160;;;;;;;;;
964;0.4;0.9;50.0;130;160;;;;;;;;;
965;0.4;0.9;60.0;130;190;;;;;;;;;
966;0.4;0.9;70.0;130;170;;;;;;;;;
967;0.4;0.9;80.0;130;160;;;;;;;;;
968;0.4;0.9;90.0;130;170;;;;;;;;;
969;0.4;0.9;100.0;130;150;;;;;;;;;
970;0.4;0.9;110.0;130;160;;;;;;;;;
971;0.4;0.9;120.0;130;160;;;;;;;;;
972;0.4;0.9;130.0;130;190;;;;;;;;;
973;0.4;0.9;140.0;130;150;;;;;;;;;
974;0.4;0.9;150.0;130;170;;;;;;;;;
975;0.4;0.9;160.0;130;160;;;;;;;;;
976;0.4;0.9;170.0;130;160;;;;;;;;;
977;0.4;0.9;180.0;130;190;;;;;;;;;
978;0.4;0.9;190.0;130;150;;;;;;;;;
979;0.4;0.9;200.0;130;150;;;;;;;;;
980;0.4;1.0;10.0;130;150;;;;;;;;;
981;0.4;1.0;20.0;130;170;;;;;;;;;
982;0.4;1.0;30.0;130;190;;;;;;;;;
983;0.4;1.0;40.0;130;190;;;;;;;;;
984;0.4;1.0;50.0;130;160;;;;;;;;;
985;0.4;1.0;60.0;130;160;;;;;;;;;
986;0.4;1.0;70.0;130;160;;;;;;;;;
987;0.4;1.0;80.0;130;170;;;;;;;;;
988;0.4;1.0;90.0;130;170;;;;;;;;;
989;0.4;1.0;100.0;130;160;;;;;;;;;
990;0.4;1.0;110.0;130;150;;;;;;;;;
991;0.4;1.0;120.0;130;170;;;;;;;;;
992;0.4;1.0;130.0;130;190;;;;;;;;;
993;0.4;1.0;140.0;130;160;;;;;;;;;
994;0.4;1.0;150.0;130;170;;;;;;;;;
995;0.4;1.0;160.0;130;170;;;;;;;;;
996;0.4;1.0;170.0;130;160;;;;;;;;;
997;0.4;1.0;180.0;130;170;;;;;;;;;
998;0.4;1.0;190.0;130;160;;;;;;;;;
999;0.4;1.0;200.0;130;150;;;;;;;;;
1000;0.5;0.1;10.0;130;170;;;;;;;;;
1001;0.5;0.1;20.0;130;190;;;;;;;;;
1002;0.5;0.1;30.0;130;160;;;;;;;;;
1003;0.5;0.1;40.0;130;170;;;;;;;;;
1004;0.5;0.1;50.0;130;170;;;;;;;;;
1005;0.5;0.1;60.0;130;170;;;;;;;;;
1006;0.5;0.1;70.0;130;190;;;;;;;;;
1007;0.5;0.1;80.0;130;170;;;;;;;;;
1008;0.5;0.1;90.0;130;160;;;;;;;;;
1009;0.5;0.1;100.0;130;170;;;;;;;;;
1010;0.5;0.1;110.0;130;200;;;;;;;;;
1011;0.5;0.1;120.0;130;180;;;;;;;;;
1012;0.5;0.1;130.0;130;170;;;;;;;;;
1013;0.5;0.1;140.0;130;190;;;;;;;;;
1014;0.5;0.1;150.0;130;170;;;;;;;;;
