№;alpha;rho;t;Ответ;Муравьи;;;№;alpha;rho;t;Ответ;Муравьи;
104;0.0;0.6;50.0;130;190;;;;;;;;;
105;0.0;0.6;60.0;130;190;;;;;;;;;
106;0.0;0.6;70.0;130;190;;;;;;;;;
107;0.0;0.6;80.0;130;190;;;;;;;;;
108;0.0;0.6;90.0;130;190;;;;;;;;;
109;0.0;0.6;100.0;130;190;;;;;;;;;
110;0.0;0.6;110.0;130;190;;;;;;;;;
111;0.0;0.6;120.0;130;190;;;;;;;;;
112;0.0;0.6;130.0;130;190;;;;;;;;;
113;0.0;0.6;140.0;130;190;;;;;;;;;
114;0.0;0.6;150.0;130;190;;;;;;;;;
115;0.0;0.6;160.0;130;190;;;;;;;;;
116;0.0;0.6;170.0;130;190;;;;;;;;;
117;0.0;0.6;180.0;130;190;;;;;;;;;
118;0.0;0.6;190.0;130;190;;;;;;;;;
119;0.0;0.6;200.0;130;190;;;;;;;;;
120;0.0;0.7;10.0;130;190;;;;;;;;;
121;0.0;0.7;20.0;130;190;;;;;;;;;
122;0.0;0.7;30.0;130;190;;;;;;;;;
123;0.0;0.7;40.0;130;190;;;;;;;;;
124;0.0;0.7;50.0;130;190;;;;;;;;;
125;0.0;0.7;60.0;130;190;;;;;;;;;
126;0.0;0.7;70.0;130;190;;;;;;;;;
127;0.0;0.7;80.0;130;190;;;;;;;;;
128;0.0;0.7;90.0;130;190;;;;;;;;;
129;0.0;0.7;100.0;130;190;;;;;;;;;
130;0.0;0.7;110.0;130;190;;;;;;;;;
131;0.0;0.7;120.0;130;190;;;;;;;;;
132;0.0;0.7;130.0;130;190;;;;;;;;;
133;0.0;0.7;140.0;130;190;;;;;;;;;
134;0.0;0.7;150.0;130;190;;;;;;;;;
135;0.0;0.7;160.0;130;190;;;;;;;;;
136;0.0;0.7;170.0;130;190;;;;;;;;;
137;0.0;0.7;180.0;130;190;;;;;;;;;
138;0.0;0.7;190.0;130;190;;;;;;;;;
139;0.0;0.7;200.0;130;190;;;;;;;;;
140;0.0;0.8;10.0;130;190;;;;;;;;;
141;0.0;0.8;20.0;130;190;;;;;;;;;
142;0.0;0.8;30.0;130;190;;;;;;;;;
143;0.0;0.8;40.0;130;190;;;;;;;;;
144;0.0;0.8;50.0;130;190;;;;;;;;;
145;0.0;0.8;60.0;130;190;;;;;;;;;
146;0.0;0.8;70.0;130;190;;;;;;;;;
147;0.0;0.8;80.0;130;190;;;;;;;;;
148;0.0;0.8;90.0;130;190;;;;;;;;;
149;0.0;0.8;100.0;130;190;;;;;;;;;
150;0.0;0.8;110.0;130;190;;;;;;;;;
151;0.0;0.8;120.0;130;190;;;;;;;;;
152;0.0;0.8;130.0;130;190;;;;;;;;;
153;0.0;0.8;140.0;130;190;;;;;;;;;
154;0.0;0.8;150.0;130;190;;;;;;;;;
155;0.0;0.8;160.0;130;190;;;;;;;;;
156;0.0;0.8;170.0;130;190;;;;;;;;;
157;0.0;0.8;180.0;130;190;;;;;;;;;
158;0.0;0.8;190.0;130;190;;;;;;;;;
159;0.0;0.8;200.0;130;190;;;;;;;;;
160;0.0;0.9;10.0;130;190;;;;;;;;;
161;0.0;0.9;20.0;130;190;;;;;;;;;
162;0.0;0.9;30.0;130;190;;;;;;;;;
163;0.0;0.9;40.0;130;190;;;;;;;;;
164;0.0;0.9;50.0;130;190;;;;;;;;;
165;0.0;0.9;60.0;130;190;;;;;;;;;
166;0.0;0.9;70.0;130;190;;;;;;;;;
167;0.0;0.9;80.0;130;190;;;;;;;;;
168;0.0;0.9;90.0;130;190;;;;;;;;;
169;0.0;0.9;100.0;130;190;;;;;;;;;
170;0.0;0.9;110.0;130;190;;;;;;;;;
171;0.0;0.9;120.0;130;190;;;;;;;;;
172;0.0;0.9;130.0;130;190;;;;;;;;;
173;0.0;0.9;140.0;130;190;;;;;;;;;
174;0.0;0.9;150.0;130;190;;;;;;;;;
175;0.0;0.9;160.0;130;190;;;;;;;;;
176;0.0;0.9;170.0;130;190;;;;;;;;;
177;0.0;0.9;180.0;130;190;;;;;;;;;
178;0.0;0.9;190.0;130;190;;;;;;;;;
179;0.0;0.9;200.0;130;190;;;;;;;;;
180;0.0;1.0;10.0;130;190;;;;;;;;;
181;0.0;1.0;20.0;130;190;;;;;;;;;
182;0.0;1.0;30.0;130;190;;;;;;;;;
183;0.0;1.0;40.0;130;190;;;;;;;;;
184;0.0;1.0;50.0;130;190;;;;;;;;;
185;0.0;1.0;60.0;130;190;;;;;;;;;
186;0.0;1.0;70.0;130;190;;;;;;;;;
187;0.0;1.0;80.0;130;190;;;;;;;;;
188;0.0;1.0;90.0;130;190;;;;;;;;;
189;0.0;1.0;100.0;130;190;;;;;;;;;
190;0.0;1.0;110.0;130;190;;;;;;;;;
191;0.0;1.0;120.0;130;190;;;;;;;;;
192;0.0;1.0;130.0;130;190;;;;;;;;;
193;0.0;1.0;140.0;130;190;;;;;;;;;
194;0.0;1.0;150.0;130;190;;;;;;;;;
195;0.0;1.0;160.0;130;190;;;;;;;;;
196;0.0;1.0;170.0;130;190;;;;;;;;;
197;0.0;1.0;180.0;130;190;;;;;;;;;
198;0.0;1.0;190.0;130;190;;;;;;;;;
199;0.0;1.0;200.0;130;190;;;;;;;;;
200;0.1;0.1;10.0;130;170;;;;;;;;;
201;0.1;0.1;20.0;130;170;;;;;;;;;
202;0.1;0.1;30.0;130;170;;;;;;;;;
203;0.1;0.1;40.0;130;170;;;;;;;;;
