       № operation         Belt       Number str          State           Time
            188              2             32              S             18:0:22.260
            189              1             33              S             18:0:22.260
            190              3             31              F             18:0:22.314
            191              2             32              F             18:0:22.314
            192              1             33              F             18:0:22.314
            193              3             32              S             18:0:22.314
            194              1             34              S             18:0:22.314
            195              2             33              S             18:0:22.314
            196              3             32              F             18:0:22.360
            197              2             33              F             18:0:22.360
            198              1             34              F             18:0:22.360
            199              3             33              S             18:0:22.360
            200              1             35              S             18:0:22.360
            201              2             34              S             18:0:22.360
            202              3             33              F             18:0:22.400
            203              2             34              F             18:0:22.400
            204              1             35              F             18:0:22.401
            205              2             35              S             18:0:22.401
            206              3             34              S             18:0:22.401
            207              1             36              S             18:0:22.401
            208              3             34              F             18:0:22.442
            209              2             35              F             18:0:22.442
            210              3             35              S             18:0:22.442
            211              1             36              F             18:0:22.442
            212              1             37              S             18:0:22.442
            213              2             36              S             18:0:22.442
            214              3             35              F             18:0:22.483
            215              2             36              F             18:0:22.483
            216              1             37              F             18:0:22.483
            217              3             36              S             18:0:22.483
            218              1             38              S             18:0:22.483
            219              2             37              S             18:0:22.483
            220              3             36              F             18:0:22.524
            221              2             37              F             18:0:22.524
            222              3             37              S             18:0:22.524
            223              1             38              F             18:0:22.524
            224              1             39              S             18:0:22.524
            225              2             38              S             18:0:22.524
            226              3             37              F             18:0:22.564
            227              2             38              F             18:0:22.564
            228              3             38              S             18:0:22.564
            229              1             39              F             18:0:22.564
            230              1             40              S             18:0:22.564
            231              2             39              S             18:0:22.564
            232              3             38              F             18:0:22.605
            233              2             39              F             18:0:22.605
            234              3             39              S             18:0:22.605
            235              1             40              F             18:0:22.605
            236              1             41              S             18:0:22.605
            237              2             40              S             18:0:22.605
            238              3             39              F             18:0:22.646
            239              2             40              F             18:0:22.646
            240              3             40              S             18:0:22.646
            241              1             41              F             18:0:22.647
            242              1             42              S             18:0:22.647
            243              2             41              S             18:0:22.647
            244              3             40              F             18:0:22.687
            245              2             41              F             18:0:22.687
            246              3             41              S             18:0:22.687
            247              1             42              F             18:0:22.687
            248              1             43              S             18:0:22.687
            249              2             42              S             18:0:22.687
            250              3             41              F             18:0:22.728
            251              2             42              F             18:0:22.728
            252              3             42              S             18:0:22.728
            253              1             43              F             18:0:22.728
            254              1             44              S             18:0:22.728
            255              2             43              S             18:0:22.728
            256              3             42              F             18:0:22.769
            257              2             43              F             18:0:22.769
            258              3             43              S             18:0:22.769
            259              1             44              F             18:0:22.769
            260              1             45              S             18:0:22.769
            261              2             44              S             18:0:22.769
            262              3             43              F             18:0:22.810
            263              2             44              F             18:0:22.810
            264              3             44              S             18:0:22.810
            265              1             45              F             18:0:22.810
            266              1             46              S             18:0:22.810
            267              2             45              S             18:0:22.810
            268              3             44              F             18:0:22.851
            269              2             45              F             18:0:22.851
            270              3             45              S             18:0:22.852
            271              1             46              F             18:0:22.852
            272              1             47              S             18:0:22.852
            273              2             46              S             18:0:22.852
            274              3             45              F             18:0:22.892
            275              2             46              F             18:0:22.892
            276              3             46              S             18:0:22.892
            277              1             47              F             18:0:22.892
            278              1             48              S             18:0:22.892
            279              2             47              S             18:0:22.892
            280              3             46              F             18:0:22.933
            281              2             47              F             18:0:22.933
            282              3             47              S             18:0:22.933
            283              1             48              F             18:0:22.933
            284              1             49              S             18:0:22.933
            285              2             48              S             18:0:22.933
            286              3             47              F             18:0:22.973
            287              2             48              F             18:0:22.974
            288              3             48              S             18:0:22.974
            289              1             49              F             18:0:22.974
            290              1             50              S             18:0:22.974
            291              2             49              S             18:0:22.974
            292              3             48              F             18:0:23.14
            293              2             49              F             18:0:23.14
            294              3             49              S             18:0:23.14
            295              1             50              F             18:0:23.14
            296              1             51              S             18:0:23.14
            297              2             50              S             18:0:23.14
            298              3             49              F             18:0:23.55
            299              2             50              F             18:0:23.56
            300              1             51              F             18:0:23.56
            301              2             51              S             18:0:23.56
            302              1             52              S             18:0:23.56
            303              3             50              S             18:0:23.56
            304              3             50              F             18:0:23.97
            305              2             51              F             18:0:23.97
            306              3             51              S             18:0:23.97
            307              1             52              F             18:0:23.97
            308              1             53              S             18:0:23.97
            309              2             52              S             18:0:23.97
            310              3             51              F             18:0:23.138
            311              2             52              F             18:0:23.138
            312              3             52              S             18:0:23.138
            313              1             53              F             18:0:23.138
            314              1             54              S             18:0:23.138
            315              2             53              S             18:0:23.138
            316              3             52              F             18:0:23.179
            317              2             53              F             18:0:23.179
            318              3             53              S             18:0:23.179
            319              1             54              F             18:0:23.179
            320              1             55              S             18:0:23.179
            321              2             54              S             18:0:23.179
            322              3             53              F             18:0:23.220
            323              2             54              F             18:0:23.220
            324              1             55              F             18:0:23.220
            325              3             54              S             18:0:23.220
            326              1             56              S             18:0:23.221
            327              2             55              S             18:0:23.221
            328              3             54              F             18:0:23.262
            329              2             55              F             18:0:23.262
            330              1             56              F             18:0:23.262
            331              1             57              S             18:0:23.262
            332              3             55              S             18:0:23.262
            333              2             56              S             18:0:23.262
            334              3             55              F             18:0:23.303
            335              2             56              F             18:0:23.303
            336              3             56              S             18:0:23.303
            337              1             57              F             18:0:23.303
            338              1             58              S             18:0:23.303
            339              2             57              S             18:0:23.303
            340              3             56              F             18:0:23.344
            341              2             57              F             18:0:23.344
            342              1             58              F             18:0:23.344
            343              3             57              S             18:0:23.344
            344              1             59              S             18:0:23.344
            345              2             58              S             18:0:23.344
            346              3             57              F             18:0:23.385
            347              2             58              F             18:0:23.385
            348              1             59              F             18:0:23.385
            349              1             60              S             18:0:23.385
            350              2             59              S             18:0:23.385
            351              3             58              S             18:0:23.385
            352              3             58              F             18:0:23.426
            353              2             59              F             18:0:23.426
            354              1             60              F             18:0:23.426
            355              3             59              S             18:0:23.426
            356              2             60              S             18:0:23.426
            357              1             61              S             18:0:23.426
            358              3             59              F             18:0:23.468
            359              2             60              F             18:0:23.468
            360              1             61              F             18:0:23.468
            361              3             60              S             18:0:23.468
            362              1             62              S             18:0:23.468
            363              2             61              S             18:0:23.468
            364              3             60              F             18:0:23.509
            365              2             61              F             18:0:23.509
            366              3             61              S             18:0:23.509
            367              1             62              F             18:0:23.509
            368              1             63              S             18:0:23.509
            369              2             62              S             18:0:23.509
            370              3             61              F             18:0:23.550
            371              2             62              F             18:0:23.550
            372              3             62              S             18:0:23.550
            373              1             63              F             18:0:23.550
            374              1             64              S             18:0:23.550
            375              2             63              S             18:0:23.550
            376              3             62              F             18:0:23.591
            377              2             63              F             18:0:23.591
            378              3             63              S             18:0:23.591
            379              1             64              F             18:0:23.591
