    alpha      rho        t    total  aco_min  aco_max
{ DATA 1 }
      0.2      0.5      200     1650     2050     2050
      0.2      0.6       10     1650     2050     2050
      0.2      0.6       20     1650     2050     2050
      0.2      0.6       30     1650     2050     2050
      0.2      0.6       40     1650     1680     2050
      0.2      0.6       50     1650     1680     2050
      0.2      0.6       60     1650     2050     2050
      0.2      0.6       70     1650     1680     2050
      0.2      0.6       80     1650     2050     2050
      0.2      0.6       90     1650     2050     2050
      0.2      0.6      100     1650     2050     2050
      0.2      0.6      110     1650     2050     2050
      0.2      0.6      120     1650     1680     2050
      0.2      0.6      130     1650     1680     2050
      0.2      0.6      140     1650     1680     2050
      0.2      0.6      150     1650     2050     2050
      0.2      0.6      160     1650     1680     2050
      0.2      0.6      170     1650     2050     2050
      0.2      0.6      180     1650     2050     2050
      0.2      0.6      190     1650     2050     2050
      0.2      0.6      200     1650     1680     2050
      0.2      0.7       10     1650     1680     2050
      0.2      0.7       20     1650     2050     2050
      0.2      0.7       30     1650     1680     2050
      0.2      0.7       40     1650     1680     2050
      0.2      0.7       50     1650     2050     2050
      0.2      0.7       60     1650     2050     2050
      0.2      0.7       70     1650     1680     2050
      0.2      0.7       80     1650     1680     2050
      0.2      0.7       90     1650     1680     2050
      0.2      0.7      100     1650     2050     2050
      0.2      0.7      110     1650     1680     2050
      0.2      0.7      120     1650     2050     2050
      0.2      0.7      130     1650     2050     2050
      0.2      0.7      140     1650     2050     2050
      0.2      0.7      150     1650     1680     2050
      0.2      0.7      160     1650     2050     2050
      0.2      0.7      170     1650     2050     2050
      0.2      0.7      180     1650     1680     2050
      0.2      0.7      190     1650     1680     2050
      0.2      0.7      200     1650     2050     2050
      0.2      0.8       10     1650     2050     2050
      0.2      0.8       20     1650     1680     2050
      0.2      0.8       30     1650     2050     2050
      0.2      0.8       40     1650     2050     2050
      0.2      0.8       50     1650     1680     2050
      0.2      0.8       60     1650     2050     2050
      0.2      0.8       70     1650     2050     2050
      0.2      0.8       80     1650     2050     2050
      0.2      0.8       90     1650     2050     2050
      0.2      0.8      100     1650     1680     2050
      0.2      0.8      110     1650     1680     2050
      0.2      0.8      120     1650     2050     2050
      0.2      0.8      130     1650     1680     2050
      0.2      0.8      140     1650     2050     2050
      0.2      0.8      150     1650     1680     2050
      0.2      0.8      160     1650     2050     2050
      0.2      0.8      170     1650     2050     2050
      0.2      0.8      180     1650     2050     2050
