%% LaTeX2e file `lev_tab.dat'
%% generated by the `filecontents' environment
%% from source `lab_1' on 2019/11/26.
%%
2 1.24e-05
3 1.86e-05
4 3.22e-05
5 4.20e-05
6 6.38e-05
7 8.64e-05
