Object0		15  109  109  125  125  156  
Object1		109  218  218  250  250  265  
Object2		218  343  343  359  359  390  
Object3		343  453  453  468  468  500  
Object4		453  562  562  578  578  609  
Object5		562  687  687  703  703  734  
Object6		687  781  781  812  812  828  
Object7		781  906  906  921  921  953  
Object8		906  1015  1015  1046  1046  1062  
Object9		1015  1140  1140  1156  1156  1171  
Object10		1140  1249  1249  1265  1265  1296  
Object11		1249  1359  1359  1390  1390  1406  
Object12		1359  1359  1390  1406  1406  1421  
Object13		1359  1359  1406  1421  1421  1453  
Object14		1359  1359  1421  1453  1453  1468  
Object15		1359  1359  1453  1468  1468  1484  
Object16		1359  1359  1468  1484  1484  1499  
Object17		1359  1359  1484  1499  1499  1531  
Object18		1359  1359  1499  1531  1531  1546  
Object19		1359  1359  1531  1546  1546  1577  
Total time: 1577
