Object0		0  109  109  136  136  162  
Object1		109  219  219  246  246  274  
Object2		219  333  333  359  359  386  
Object3		333  446  446  474  474  501  
Object4		446  559  559  585  585  611  
Object5		559  669  669  700  700  725  
Object6		669  782  782  807  807  838  
Object7		782  899  899  925  925  952  
Object8		899  1009  1009  1037  1037  1065  
Object9		1009  1123  1123  1149  1149  1176  
Object10		1123  1235  1235  1261  1261  1289  
Object11		1235  1235  1261  1289  1289  1317  
Object12		1235  1235  1289  1317  1317  1342  
Object13		1235  1235  1317  1342  1342  1368  
Object14		1235  1235  1342  1368  1368  1394  
Object15		1235  1235  1368  1394  1394  1422  
Object16		1235  1235  1394  1422  1422  1449  
Object17		1235  1235  1422  1449  1449  1478  
Object18		1235  1235  1449  1478  1478  1504  
Object19		1235  1235  1478  1503  1504  1529  
Object20		1235  1235  1503  1529  1529  1557  
Object21		1235  1235  1529  1557  1557  1587  
Object22		1235  1235  1557  1587  1587  1615  
Object23		1235  1235  1587  1616  1616  1645  
Object24		1235  1235  1616  1645  1645  1672  
Object25		1235  1235  1645  1672  1672  1697  
Object26		1235  1235  1672  1697  1697  1725  
Object27		1235  1235  1697  1725  1725  1752  
Object28		1235  1235  1725  1752  1752  1784  
Object29		1235  1235  1752  1784  1784  1811  
Object30		1235  1235  1784  1811  1811  1838  
Object31		1235  1235  1811  1837  1838  1867  
Object32		1235  1235  1837  1867  1867  1893  
Object33		1235  1235  1867  1893  1893  1921  
Object34		1235  1235  1893  1921  1921  1947  
Object35		1235  1235  1921  1946  1947  1973  
Object36		1235  1235  1946  1973  1973  2002  
Object37		1235  1235  1973  2001  2002  2031  
Object38		1235  1235  2001  2031  2031  2057  
Object39		1235  1235  2031  2056  2057  2082  
Total time: 2082
