Object0		1  108  1160  1185  2161  2186  
Object1		108  214  1185  1210  2186  2211  
Object2		214  320  1210  1235  2211  2236  
Object3		320  425  1235  1260  2236  2260  
Object4		425  530  1260  1285  2260  2285  
Object5		530  636  1285  1310  2285  2310  
Object6		636  741  1310  1335  2310  2335  
Object7		741  845  1335  1361  2335  2360  
Object8		845  950  1361  1386  2360  2385  
Object9		950  1055  1386  1411  2385  2410  
Object10		1055  1160  1411  1436  2410  2435  
Object11		1160  1160  1436  1461  2435  2460  
Object12		1160  1160  1461  1486  2460  2486  
Object13		1160  1160  1486  1511  2486  2511  
Object14		1160  1160  1511  1536  2511  2538  
Object15		1160  1160  1536  1561  2538  2562  
Object16		1160  1160  1561  1586  2562  2587  
Object17		1160  1160  1586  1611  2587  2613  
Object18		1160  1160  1611  1636  2613  2638  
Object19		1160  1160  1636  1661  2638  2664  
Object20		1160  1160  1661  1686  2664  2689  
Object21		1160  1160  1686  1711  2689  2714  
Object22		1160  1160  1711  1736  2714  2739  
Object23		1160  1160  1736  1761  2739  2764  
Object24		1160  1160  1761  1786  2764  2789  
Object25		1160  1160  1786  1811  2789  2814  
Object26		1160  1160  1811  1836  2814  2839  
Object27		1160  1160  1836  1861  2839  2865  
Object28		1160  1160  1861  1886  2865  2890  
Object29		1160  1160  1886  1911  2890  2915  
Object30		1160  1160  1911  1936  2915  2940  
Object31		1160  1160  1936  1961  2940  2965  
Object32		1160  1160  1961  1986  2965  2990  
Object33		1160  1160  1986  2011  2990  3015  
Object34		1160  1160  2011  2036  3015  3040  
Object35		1160  1160  2036  2061  3040  3065  
Object36		1160  1160  2061  2086  3065  3090  
Object37		1160  1160  2086  2111  3090  3115  
Object38		1160  1160  2111  2136  3115  3140  
Object39		1160  1160  2136  2161  3140  3164  
Total time: 3163
