Object0		0  73  73  92  92  111  
Object1		73  145  145  164  164  183  
Object2		145  217  217  235  235  255  
Object3		217  288  288  306  306  325  
Object4		288  360  360  381  381  400  
Object5		360  439  439  459  459  478  
Object6		439  513  513  532  532  551  
Object7		513  585  585  604  604  623  
Object8		585  660  660  678  678  698  
Object9		660  731  731  750  750  769  
Object10		731  802  802  821  821  840  
Object11		802  802  821  840  840  859  
Object12		802  802  840  859  859  878  
Object13		802  802  859  878  878  898  
Object14		802  802  878  898  898  916  
Object15		802  802  898  916  916  936  
Object16		802  802  916  936  936  956  
Object17		802  802  936  957  957  977  
Object18		802  802  957  977  977  996  
Object19		802  802  977  997  997  1016  
Object20		802  802  997  1017  1017  1037  
Object21		802  802  1017  1037  1037  1056  
Object22		802  802  1037  1057  1057  1077  
Object23		802  802  1057  1077  1077  1097  
Object24		802  802  1077  1097  1097  1116  
Object25		802  802  1097  1117  1117  1137  
Object26		802  802  1117  1137  1137  1157  
Object27		802  802  1137  1157  1157  1177  
Object28		802  802  1157  1177  1177  1197  
Object29		802  802  1177  1197  1197  1217  
Object30		802  802  1197  1218  1218  1238  
Object31		802  802  1218  1237  1238  1258  
Object32		802  802  1237  1258  1258  1278  
Object33		802  802  1258  1278  1278  1298  
Object34		802  802  1278  1298  1298  1318  
Object35		802  802  1298  1318  1318  1338  
Object36		802  802  1318  1338  1338  1358  
Object37		802  802  1338  1358  1358  1378  
Object38		802  802  1358  1378  1378  1399  
Object39		802  802  1378  1399  1399  1417  
Total time: 1417
