Object0		0  16  688  703  1422  1438  
Object1		16  47  703  719  1438  1469  
Object2		47  125  719  750  1469  1485  
Object3		125  204  750  766  1485  1500  
Object4		204  267  766  781  1500  1516  
Object5		267  329  781  797  1516  1532  
Object6		329  407  797  813  1532  1547  
Object7		407  470  813  829  1547  1578  
Object8		470  548  829  845  1578  1594  
Object9		548  625  845  876  1594  1610  
Object10		625  688  876  892  1610  1626  
Object11		688  688  892  907  1626  1642  
Object12		688  688  907  923  1642  1658  
Object13		688  688  923  939  1658  1689  
Object14		688  688  939  970  1689  1704  
Object15		688  688  970  986  1704  1720  
Object16		688  688  986  1001  1720  1736  
Object17		688  688  1001  1017  1736  1751  
Object18		688  688  1017  1032  1751  1767  
Object19		688  688  1032  1048  1767  1798  
Object20		688  688  1048  1079  1798  1814  
Object21		688  688  1079  1095  1814  1829  
Object22		688  688  1095  1111  1829  1845  
Object23		688  688  1111  1126  1845  1861  
Object24		688  688  1126  1142  1861  1876  
Object25		688  688  1142  1157  1876  1907  
Object26		688  688  1157  1189  1907  1923  
Object27		688  688  1189  1204  1923  1939  
Object28		688  688  1204  1220  1939  1954  
Object29		688  688  1220  1236  1954  1970  
Object30		688  688  1236  1251  1970  2001  
Object31		688  688  1251  1282  2001  2017  
Object32		688  688  1282  1298  2017  2032  
Object33		688  688  1298  1314  2032  2048  
Object34		688  688  1314  1329  2048  2064  
Object35		688  688  1329  1345  2064  2079  
Object36		688  688  1345  1376  2079  2111  
Object37		688  688  1376  1395  2111  2126  
Object38		688  688  1395  1414  2126  2142  
Object39		688  688  1414  1422  2142  2157  
Total time: 2157
