Object0		0  45  45  71  71  96  
Object1		45  92  92  118  118  146  
Object2		92  139  140  167  167  195  
Object3		139  186  186  215  215  242  
Object4		186  234  234  260  260  286  
Object5		234  278  278  305  305  334  
Object6		278  325  325  353  353  383  
Object7		325  368  368  397  397  426  
Object8		368  411  411  440  440  470  
Object9		411  455  455  484  484  509  
Object10		455  498  498  523  523  552  
Object11		498  498  523  552  552  577  
Object12		498  498  552  577  577  602  
Object13		498  498  577  602  603  628  
Object14		498  498  603  628  628  653  
Object15		498  498  628  653  653  682  
Object16		498  498  653  682  682  713  
Object17		498  498  682  713  713  743  
Object18		498  498  713  743  743  768  
Object19		498  498  743  768  768  793  
Object20		498  498  768  793  793  818  
Object21		498  498  793  818  818  843  
Object22		498  498  818  843  843  869  
Object23		498  498  843  869  869  894  
Object24		498  498  869  894  894  919  
Total time: 919
